"PRT_ID","SALES_PRICE"
"P05996",7866197.41450996
"P09294",14725518.1739633
"P03807",8247088.07896913
"P00539",14062173.5332105
"P01448",6951401.33261091
"P06667",13921738.3026947
"P09803",14954575.9932785
"P05568",21988456.4421289
"P05102",14895468.6249135
"P04556",5751271.88871695
"P03782",9127264.6521206
"P02221",10611776.9259071
"P03299",11623925.7587678
"P08959",8916930.68995733
"P09377",7870384.60014413
"P09924",10095684.1074659
"P01394",8298044.04006464
"P07407",11663364.9614273
"P08729",12781468.6883548
"P09542",11772103.4988241
"P01853",9938232.02440185
"P08051",12997271.8323349
"P08271",5852254.90733052
"P02055",9429307.76388405
"P01462",6588237.13304044
"P03664",13511762.4012907
"P02370",6625267.37881399
"P07852",19514863.0201592
"P06278",15674068.9572487
"P08467",13681336.6175606
"P00992",11089343.1479129
"P05942",7055056.98715276
"P03989",6636168.47317846
"P07060",10738405.5790759
"P00285",13866800.0657055
"P04718",5547971.00957561
"P00956",11634831.5428932
"P07903",11262465.9421744
"P09166",7883291.08760668
"P04499",7173487.53177012
"P04015",3807056.67028345
"P09376",9607982.77548305
"P00012",7099101.44351161
"P08995",13857824.0439254
"P02323",9235709.92377038
"P01359",9012861.13761599
"P07090",14321263.9908985
"P08475",13803325.7959968
"P02125",14561324.8935583
"P07915",19079543.1749502
"P06139",8628604.44327963
"P03073",5155268.71210677
"P08441",10245373.8500735
"P01565",9325551.70583157
"P00791",9268956.99195046
"P06751",12167264.3714798
"P04554",13584157.6245314
"P03839",7296569.68130071
"P01409",11107908.8891178
"P07431",12719693.8647201
"P03489",11883953.6394609
"P06387",8395013.09744079
"P06779",8502762.81507237
"P01889",8268442.94497372
"P06149",12992456.1685854
"P08873",13470310.5726631
"P03425",15130888.0863194
"P09806",9139377.47139914
"P04345",11242756.0680468
"P04042",14132755.4944449
"P09781",7782931.58949951
"P00254",15073819.3199496
"P09091",12987684.029417
"P04061",9615939.22189058
"P06644",6557301.70013911
"P08517",12727440.034719
"P07492",10896081.1354605
"P04452",16207690.9626474
"P08144",9528313.13509745
"P02854",5479428.99653477
"P04835",8789827.97927679
"P00455",13138266.0645748
"P07396",7688180.2824638
"P07777",7107235.10073007
"P05423",9547483.32999648
"P05820",18913650.3698729
"P01309",8384117.20941026
"P04343",5980157.62509436
"P05167",7021528.91882874
"P03621",7243712.2686652
"P01131",18847503.9308104
"P04092",5579291.14334072
